-1,1,-1,1,-1,1,-1,1,X,3,-1,0,1,X,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,X,X,1,-1,X,X,1,X,X,1,-1,1,-1,1,-1,1,-1,1,0,0,0,0,-4,-8,0,-4,0,0,0,0,-4,0,0,3,0,3,1,-1,1,-1,1,-1,1,-2,1,1,-2,0,1,-2,1,1,-2
1,-1,1,-1,1,-1,1,-1,2,-1,3,0,3,5,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,0,0,1,1,-1,1,-1,1,-1,1,X,1,-1,-5,0,0,-4,0,0,-8,0,-4,0,0,0,0,0,0,0,3,1,X,1,X,1,X,X,X,1,-2,1,1,-2,0,1,-2,1,1
-1,1,-1,1,-1,1,-1,1,-1,-1,2,2,0,3,5,3,-1,1,X,1,-1,1,-1,1,-1,1,-1,1,-1,1,X,X,1,-1,1,-1,0,1,X,1,-1,1,-1,X,-1,1,X,X,-1,0,-4,0,-4,0,0,-8,0,0,0,0,0,0,0,0,0,3,1,3,1,0,1,1,-2,0,1,-2,1,1,-2,0,1,0,1
1,-1,1,-1,1,-1,1,-1,X,-1,2,0,2,2,2,X,X,X,2,X,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,0,1,-1,1,-1,1,-1,0,0,-3,-3,-4,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,X,1,1,-2,0,1,-2,1,1,-2,0,1,0
-1,1,-1,1,-1,1,-1,1,-1,0,0,0,2,0,2,2,2,0,0,2,X,1,-1,1,-1,1,-1,1,-1,1,X,X,1,-1,1,-1,1,-2,-1,1,-1,1,-1,X,3,-3,0,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,X,1,1,-2,0,1,-2,1,1,-2,0,1
1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,2,0,2,2,2,0,2,X,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,X,X,X,X,X,-1,X,X,X,-2,X,0,-3,3,-3,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,X,1,1,-2,0,1,-2,1,1,-2,0
-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,2,0,2,2,2,2,X,1,-1,1,-1,1,-1,1,X,X,1,-1,1,0,0,0,-1,0,0,-2,0,-3,-3,-3,0,-4,0,0,3,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,X,1,1,-2,0,1,-2,1,1,-2
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,2,0,2,2,2,X,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,0,-1,0,-2,-3,-3,-3,-4,-4,0,0,0,0,0,-4,0,0,3,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,X,1,1,-2,0,1,-2,1,1
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,0,2,0,2,2,X,1,-1,1,-1,1,X,X,1,-1,1,-1,-2,X,2,X,X,-4,0,0,0,0,-4,0,0,0,0,0,0,-4,0,0,3,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,3,1,3,1,X,1,1,-2,0,1,0,1
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,0,0,2,0,2,X,1,-1,1,-1,1,1,-1,X,X,1,-1,-2,0,0,2,0,-4,0,0,0,0,0,0,-4,0,0,0,0,0,0,-4,0,0,3,0,0,0,-4,0,0,0,0,0,0,0,0,3,1,3,1,X,1,1,-2,0,1,0
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,2,2,X,1,-1,1,X,X,1,-1,-3,X,X,-1,-3,2,0,0,2,0,0,-4,0,0,0,0,0,0,-4,0,0,0,0,0,0,-4,0,0,3,0,0,0,-4,0,0,0,0,0,0,3,1,3,1,X,1,1,-2,0,1
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,2,X,1,-1,3,3,-1,1,-1,-3,-1,0,0,0,0,3,0,0,2,0,0,0,-4,0,0,0,0,0,0,-4,0,0,0,0,0,0,-4,0,0,3,0,0,0,-4,0,0,0,0,3,1,3,1,X,1,1,-2,0
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,2,X,X,X,X,X,X,X,-1,0,-1,0,0,0,0,0,3,X,0,2,0,0,0,-4,-4,0,0,0,0,0,0,-4,0,0,0,0,0,0,-4,0,0,3,0,0,0,-4,0,0,3,1,3,1,X,1,1,-2
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,3,X,-4,2,0,0,0,-4,0,-4,0,0,0,0,0,0,-4,0,0,0,0,0,0,-4,0,0,3,0,0,0,-4,3,1,3,1,X,1,1
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,-1,0,0,0,0,0,3,0,-4,0,0,0,3,X,0,-4,0,0,0,-4,0,0,-4,0,0,0,0,0,0,-4,0,0,0,0,0,0,-4,0,0,3,0,0,3,X,3,1,3,1
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,2,0,-1,2,-1,0,0,0,0,-4,0,0,0,3,3,0,-4,0,0,0,X,0,0,-4,0,0,0,0,0,0,-4,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,3,3,0,3,1,3
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,0,0,2,0,-1,2,-1,0,5,-1,0,0,3,0,0,-4,0,0,0,3,3,0,-4,0,0,0,0,0,0,-4,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,2,0,-1,2,-1,0,2,X,0,0,-3,0,5,-1,3,0,3,-4,0,0,0,3,3,0,-4,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
